date,unix_timestamp,timestamp,wifi,real,direction,kmh,lat,long
06/12/2017,1512587398,2017-12-06T19:09:58.000Z,3,1,0,0.1872,-23.644678947,-46.70046768
06/12/2017,1512587399,2017-12-06T19:09:59.000Z,3,1,0,0.1368,-23.644677804,-46.700472756
06/12/2017,1512587400,2017-12-06T19:10:00.000Z,3,1,0,0.162,-23.644675621,-46.700475899
06/12/2017,1512587401,2017-12-06T19:10:01.000Z,3,1,0,0.3852,-23.644673576,-46.700477736
06/12/2017,1512587402,2017-12-06T19:10:02.000Z,3,1,0,0.028800000000000003,-23.644674406,-46.700477521
06/12/2017,1512587403,2017-12-06T19:10:03.000Z,3,1,0,0.054,-23.644674743,-46.700477263
06/12/2017,1512587404,2017-12-06T19:10:04.000Z,3,1,0,0.0684,-23.644674559,-46.700475603
06/12/2017,1512587405,2017-12-06T19:10:05.000Z,3,1,0,0.5256,-23.644673623,-46.700476298
06/12/2017,1512587406,2017-12-06T19:10:06.000Z,3,1,0,0.11520000000000001,-23.644673993,-46.700474653
06/12/2017,1512587407,2017-12-06T19:10:07.000Z,3,1,0,0.1008,-23.644673691,-46.700473117
06/12/2017,1512587408,2017-12-06T19:10:08.000Z,3,1,0,0.13319999999999999,-23.644673185,-46.70047133
06/12/2017,1512587409,2017-12-06T19:10:09.000Z,3,1,0,0.18359999999999999,-23.644672385,-46.70047142
06/12/2017,1512587410,2017-12-06T19:10:10.000Z,3,1,0,0.16920000000000002,-23.644671566,-46.70047245
06/12/2017,1512587411,2017-12-06T19:10:11.000Z,3,1,0,0.1188,-23.644670049,-46.7004739
06/12/2017,1512587412,2017-12-06T19:10:12.000Z,3,1,0,0.1116,-23.644668426,-46.700475375
